filmtitel;kijkdatum;locatie;toelichting;oordeel
All That's Left of You;;bioscoop;Familieverhaal in woelige tijden;Goed
As It Is in Heaven;;bioscoop;Menselijk, muziek;Top 3
Bugonia;;bioscoop;Absurd, origineel;Erg leuk
David Gilmour: Circus Maximus;;bioscoop;Concertfilm;Mooi
Den Sidste Viking;;bioscoop;Komedie met serieuze onderlaag;Prima
Eddington;;bioscoop;Absurd en te lang;Negatief
Folktales;;bioscoop;Docu, tussenjaar boven poolcirkel;Topper
Heldin;;bioscoop;Sterke hoofdpersoon;Top
It Was Just an Accident;;bioscoop;Ethisch dilemma met humor;Knap
It's Never Over, Jeff Buckley;;bioscoop;Muziekfim;
Köln 75;;bioscoop;Snel, humor, muziek, waargebeurd;Topper
Nuremberg;;bioscoop;Historisch, psychologisch dilemma;Degelijk
On Vous Croit;;bioscoop;In your face, sterk gefilmd;Wow
One Battle After Another;;bioscoop;Intelligente actiefilm;Erg leuk
One Flew Over the Cuckoo's Nest;;bioscoop;Klassieker;Top
Rietland;;bioscoop;Veel open eindes, arty;Matig
Sentimental Value;;bioscoop;Sterk acteerwerk, rommelig verhaal;Teleurstellend
Springsteen: Deliver Me From Nowhere;;bioscoop;Biografisch, muziek;Goed
The Correolis Effect;;bioscoop;Langdradig, natuur viel tegen;Matig
The Garden of Earthly Delights;;bioscoop;Heftig, disturbing;Zwaar
The North;;bioscoop;Natuur, wandeling, vriendschap, meerdere verhaallijnen;Prachtig
The Penguin Stories;;bioscoop;Humor en dictatuur Argentinië;Top
Voor de meisjes;;bioscoop;Heftig moreel dilemma;Goed
Winter in Sokcho;;bioscoop;Koreaans/Frans, sterk verhaal;Topper
Wisdom of Happiness;;bioscoop;Dalai Lama, inhoudelijk interessant;Filmmatig middelmatig
Blue moon;;bioscoop;Monoloog musicalschrijver;Superslecht
Hamnet;;bioscoop;William Shakespeare;Prima
Vie privée;;bioscoop;Jody Foster als Frans/Amerikaanse psychiater;Goed
The Tale of Silyan;;bioscoop;Ooievaar en boer in Macedonië;Mooi!
The voice of Hind Rajab;;bioscoop;Reddingsactie meisje in Gaza;Heftig en prachtig
Gioia Mia;;bioscoop;Italiaanse logeerpartij;Ahhhh, Italië!
20 Days in Mariupol;;thuis;Oorlogsdocu;Heftig
7500;;thuis;Compacte spanning;Zeer goed
A Hero;;thuis;Moreel complex;Top
A Separation;;thuis;Menselijk en scherp;Uitstekend
Anatomy of a Fall;;thuis;Beklemmend, moreel;Top
Argentina, 1985;;thuis;Rechtszaak, historie;Goed
Boy Kills World;;thuis;Stijl boven inhoud;Raar
Carol;;thuis;Jaren 50, liefde;Topper
Corpus Christi;;thuis;Rauw moreel drama;Goed
Die My Love;;thuis;Vrouw wordt gek van verveling;Goed
EO;;thuis;Visueel en origineel;Geweldig
Fallen Leaves;;thuis;Poëtisch, traag;Oké
Good One;;thuis;Wandelfilm;Mooi
Hell or High Water;;thuis;Modern western;Goed
Honey Don't!;;thuis;Queer noir, absurd;Topper
Hunt for the Wilderpeople;;thuis;Humor en avontuur;Charmant
I Saw the TV Glow;;thuis;Vreemd, roze cult;Niet mijn ding
In Bruges;;thuis;Zwartkomisch;Oké
Klondike;;thuis;Oekraïne, burgers;Zeer sterk
La Chimera;;thuis;Italiaanse sfeer, origineel;Mooi
Leave No Trace;;thuis;Menselijk drama;Mooi
Mosul;;thuis;Rauw oorlogsdrama;Goed
Navalny;;thuis;Politieke docu;Top
Network;;thuis;Media en macht;Klassieker
Nobody;;thuis;Strakke actie;Leuk
Past Lives;;thuis;Relaties, levenslopen;Goed
Petite Maman;;thuis;Subtiel en rustig;Mooi
Sisu;;thuis;Extreme wraakfilm;Top
Sound of Metal;;thuis;Menselijk en intens;Topper
The Art of Self-Defense;;thuis;Absurd;Lekker gek
The Banshees of Inisherin;;thuis;Menselijkheid en conflict;Sterk
The Brutalist;;thuis;Familieverhaal;Te lang
The Death of Stalin;;thuis;Historische satire;Redelijk
The Dissident;;thuis;Politiek en urgent;Top
The Eight Mountains;;thuis;Vriendschap, natuur;Top
The Father;;thuis;Psychologisch drama;Prachtig
The Fire Within;;thuis;Vulkanologen;Indrukwekkend
The Guilty;;thuis;Compacte spanning;Topper
The Hunt;;thuis;Morele spanning;Zeer goed
The Insult;;thuis;Van klein conflict naar tragedie;Prachtig
The Killing of Two Lovers;;thuis;Intens drama;Top
The Lives of Others;;thuis;Stasi, moraal;Klassieker
The Outfit;;thuis;Strak misdaaddrama;Prima
The Quiet Girl;;thuis;Klassiek filmhuis, mooi gefilmd;Goed
The Rider;;thuis;Omgaan met tegenslag;Mooi
The Square;;thuis;Satirisch absurd;Oké
The Trip;;thuis;Chaos en geweld;Oké
The Worst Person in the World;;thuis;Menselijk, tempo;Wow
The Zone of Interest;;thuis;Bijzondere stijl, onderhuidse horror;Zeer sterk
Triangle of Sadness;;thuis;Satire over consumptie;Blijft hangen
Whiplash;;thuis;Ritme en intensiteit;Fantastisch
A complete unknown;;thuis;Bob Dylan;Goed
A Private War;;thuis;Oorlogsjournalistiek;Topper
The Handmaiden;;thuis;Japanse intrige;Te lang
The day after tomorrow;;thuis;Rampenfilm met plotselinge ijstijd;Erg Amerikaans, maar oké.
A real pain;;thuis;2 Amerikaanse neven in Polen;Flauw. Nee.
Burning;;thuis;Subtiele spanning, jaloezie, sociale kritiek;Oké, maar wel iets ingewikkeld.
